epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,13763.3,0.80291,1.5723,1.0949,0.97629,0.57652,0.45024,0.46432,0.34241,0.56993,0.44363,0.45079,0.29478,0.84165,1.59788,0.99954,0.9521,0.004258,0.004258,0.004258
60,13993.7,0.80001,1.56219,1.09501,0.97476,0.57345,0.45089,0.46485,0.34322,0.55084,0.43264,0.43989,0.29334,0.8414,1.59536,0.99856,0.95186,0.004159,0.004159,0.004159
61,14230.9,0.80358,1.5695,1.09556,0.97574,0.57504,0.45019,0.46617,0.34422,0.56218,0.44433,0.45256,0.29608,0.84087,1.59441,0.99769,0.95125,0.00406,0.00406,0.00406
62,14462.4,0.80047,1.56272,1.08866,0.97559,0.58449,0.44834,0.46619,0.34496,0.5726,0.44295,0.45346,0.29642,0.83995,1.59264,0.99632,0.95056,0.003961,0.003961,0.003961
63,14695.3,0.79629,1.55497,1.0842,0.9736,0.59637,0.44521,0.46708,0.34635,0.58472,0.44023,0.45421,0.29742,0.83913,1.59105,0.9951,0.95008,0.003862,0.003862,0.003862
64,14930.4,0.79551,1.55558,1.08266,0.9741,0.60603,0.44039,0.46753,0.34595,0.59385,0.43484,0.45472,0.29845,0.83821,1.58991,0.9938,0.94957,0.003763,0.003763,0.003763
65,15159.5,0.79577,1.54714,1.07901,0.97411,0.60421,0.44134,0.46894,0.3481,0.59238,0.43593,0.45632,0.29849,0.83781,1.58947,0.99314,0.94918,0.003664,0.003664,0.003664
66,15391.8,0.79103,1.54463,1.07476,0.97145,0.60683,0.43918,0.46958,0.34822,0.59334,0.43266,0.45625,0.29913,0.83776,1.5881,0.99144,0.94928,0.003565,0.003565,0.003565
67,15625.8,0.78941,1.544,1.07281,0.97081,0.61781,0.43407,0.47011,0.34873,0.60731,0.42694,0.4569,0.29921,0.83713,1.58606,0.98972,0.94914,0.003466,0.003466,0.003466
68,15858.6,0.78839,1.53553,1.06724,0.97101,0.61293,0.43559,0.47052,0.34949,0.60795,0.42602,0.45674,0.29943,0.83643,1.58488,0.98766,0.94887,0.003367,0.003367,0.003367
69,16091.2,0.78669,1.53409,1.06703,0.97021,0.60618,0.43927,0.47143,0.35003,0.60726,0.4265,0.45793,0.30004,0.83554,1.58307,0.98553,0.94847,0.003268,0.003268,0.003268
70,16327.9,0.78482,1.52808,1.06058,0.9692,0.60575,0.44115,0.47166,0.3508,0.59472,0.43274,0.45799,0.30035,0.83509,1.58158,0.98452,0.94818,0.003169,0.003169,0.003169
71,16562.9,0.78597,1.52872,1.06219,0.96902,0.59125,0.45024,0.47122,0.3508,0.58356,0.4369,0.45774,0.30083,0.8343,1.58023,0.98341,0.94741,0.00307,0.00307,0.00307
72,16798.5,0.78723,1.53086,1.06239,0.97064,0.58572,0.4549,0.47219,0.35139,0.5725,0.44425,0.45894,0.3016,0.83392,1.57817,0.9826,0.94707,0.002971,0.002971,0.002971
73,17033.9,0.78139,1.52253,1.05689,0.96801,0.5627,0.46332,0.47268,0.35191,0.54685,0.45577,0.45935,0.30222,0.83346,1.57627,0.98181,0.94677,0.002872,0.002872,0.002872
74,17270.1,0.77961,1.51715,1.05169,0.96621,0.59318,0.4576,0.47353,0.35357,0.57708,0.44851,0.46036,0.30339,0.83286,1.57417,0.98095,0.94656,0.002773,0.002773,0.002773
